ANOENC;NUMERO;Seguro_salud;TAMAMU;NMIEMB;NMIEM2;NUMOCUP;TIPHOGAR3;EDADSP;SEXOSP;ESTUDREDSP;OCUSP;INTERINPSP;REGTEN;SUPERF;INTERIN
2018;1;0;1;02;00;02; 5;53; 1; 4; 1;03;1;070;05
2018;2;0;4;04;02;02; 7;43; 1; 4; 1;04;1;078;06
2018;3;1;1;02;00;00; 4;66; 1; 4; 2;05;2;085;07
2018;4;0;1;01;00;00; 1;85; 1; 2; 2;02;1;050;02
2018;5;0;3;02;00;00; 5;63; 1; 1; 2;04;1;090;07
2018;6;0;1;03;00;02;10;60; 1; 4; 1;03;1;098;07
2018;7;0;5;02;00;01;10;64; 6; 2; 1;02;2;150;03
2018;8;1;3;04;02;02; 7;57; 1; 3; 1;07;2;140;09
2018;9;0;5;04;02;01; 7;42; 1; 2; 1;03;1;140;03
2018;10;0;1;02;00;00; 4;75; 1; 2; 2;03;1;090;03
2018;11;0;1;04;00;01;10;54; 6; 3; 2;01;1;080;01
2018;12;0;1;03;01;01; 9;36; 6; 3; 1;02;2;100;02
2018;13;0;5;02;00;00; 4;76; 1; 2; 2;02;1;060;04
2018;14;0;3;02;00;01;10;75; 6; 1; 2;02;1; -9;03
2018;15;0;1;02;00;00; 4;73; 1; 2; 2;03;1;085;04
2018;16;1;2;04;01;02; 7;50; 1; 4; 1;04;2;230;07
2018;17;1;1;03;01;01; 6;40; 1; 4; 1;06;2;080;06
2018;18;0;3;06;03;01; 8;49; 1; 2; 1;03;3;090;03
2018;19;0;5;03;00;02;10;58; 6; 3; 1;03;3;120;06
2018;20;0;2;05;03;02; 8;42; 6; 3; 1;02;3;070;04
2018;21;0;4;03;01;01; 6;61; 1; 2; 1;04;2;080;04
2018;22;0;1;02;00;00; 9;51; 6; 4; 2;02;2;050;02
2018;23;0;3;03;00;01;10;65; 1; 2; 1;03;1;130;03
2018;24;0;5;02;00;01; 9;54; 6; 3; 1;03;3;065;03
2018;25;0;2;02;00;01; 5;37; 1; 4; 1;03;6;090;04
2018;26;0;1;04;00;03;10;54; 1; 4; 1;06;2;099;09
2018;27;0;4;03;01;02; 6;42; 1; 4; 1;04;5;085;06
2018;28;0;1;04;01;03;10;50; 1; 2; 1;02;5;065;06
2018;29;0;5;02;00;01;10;23; 6; 4; 1;02;6;089;02
2018;30;0;1;01;00;01; 3;24; 6; 3; 1;03;3;070;03
2018;31;0;5;03;01;02; 6;38; 1; 4; 1;05;2;112;07
2018;32;0;1;01;00;00; 1;85; 6; 1; 2;02;1;080;02
2018;33;0;1;05;00;02;10;51; 1; 2; 1;03;1;075;04
2018;34;0;1;03;00;02;10;58; 1; 2; 1;03;1;090;05
2018;35;1;1;03;01;02; 6;43; 1; 2; 1;04;2;058;05
2018;36;0;2;04;00;01; 7;53; 1; 4; 1;04;2;100;04
2018;37;0;5;04;01;02; 7;49; 6; 4; 1;04;2;095;07
2018;38;0;1;03;00;01;10;58; 6; 3; 2;02;1;090;05
2018;39;0;1;01;00;01; 2;47; 6; 3; 1;02;1;050;02
2018;40;0;3;04;00;02; 7;41; 1; 3; 1;02;2;120;06
2018;41;0;1;03;01;02; 6;37; 1; 4; 1;03;5;085;05
2018;42;0;5;01;00;00; 1;77; 1; 2; 2;03;1;090;03
2018;43;0;1;01;00;01; 2;48; 6; 4; 1;03;1;060;03
2018;44;0;1;05;03;02; 8;39; 1; 4; 1;06;3;060;07
2018;45;0;2;02;00;00; 4;85; 1; 4; 2;05;1;110;05
2018;46;0;3;04;02;00; 7;42; 1; 3; 2;01;3;060;03
2018;47;0;4;03;00;01; 6;53; 6; 4; 1;05;2;150;07
2018;48;0;1;03;00;02; 6;59; 1; 4; 1;-9;2;250;07
2018;49;0;5;03;01;01; 6;50; 1; 1; 1;02;3;090;02
2018;50;0;3;02;00;01; 5;36; 1; 4; 1;02;3;070;02
2018;51;0;1;03;00;01;10;67; 1; 1; 2;02;2;150;05
2018;52;0;5;01;00;01; 3;29; 1; 3; 1;03;2;082;03
2018;53;0;4;04;02;02; 7;40; 1; 4; 1;03;2;095;06
2018;54;0;5;01;00;00; 1;75; 1; 1; 2;02;1;080;02
2018;55;0;3;02;00;00; 4;70; 1; 3; 2;06;1;150;06
2018;56;0;3;02;00;02; 5;53; 1; 2; 1;02;3;160;04
2018;57;0;4;04;00;02;10;60; 1; 4; 1;05;2;190;07
2018;58;0;1;03;01;01; 6;45; 1; 4; 1;03;2;074;03
2018;59;0;5;02;00;01; 5;54; 6; 2; 1;03;1;093;03
2018;60;0;5;03;01;02; 6;31; 6; 4; 1;03;1;150;05
2018;61;1;3;04;00;01; 7;49; 6; 4; 1;03;2;170;06
2018;62;0;1;03;01;02; 6;38; 6; 4; 1;04;3;053;07
2018;63;0;1;04;01;02; 7;46; 6; 4; 1;03;1;090;04
2018;64;0;5;01;00;01; 2;52; 6; 3; 1;02;1;080;02
2018;65;0;4;01;00;00; 1;80; 6; 1; 2;02;1;092;02
2018;66;0;3;02;00;00;10;74; 6; 2; 2;02;1;067;02
2018;67;0;4;02;00;00; 4;67; 1; 2; 2;02;1;100;02
2018;68;0;2;02;00;01; 5;40; 6; 2; 1;02;2;084;02
2018;69;0;4;02;00;00; 4;66; 1; 2; 2;03;1;080;03
2018;70;0;3;04;00;00;10;58; 1; 3; 2;01;1;065;02
2018;71;0;3;01;00;00; 2;55; 6; 2; 2;02;1;053;02
2018;72;0;5;03;01;02; 6;30; 6; 3; 1;01;2;100;04
2018;73;0;3;03;00;01;10;67; 1; 1; 2;04;1;150;07
2018;74;0;1;04;00;01;10;66; 1; 1; 2;03;1;110;05
2018;75;0;4;03;00;02; 6;59; 1; 1; 1;03;1;300;05
2018;76;0;1;01;00;00; 1;74; 6; 1; 2;03;1;080;03
2018;77;0;2;03;00;03;10;65; 1; 1; 1;04;2;280;08
2018;78;0;2;03;00;01;10;72; 1; 2; 2;03;1;093;03
2018;79;0;1;03;00;01; 6;60; 1; 2; 1;04;1;088;07
2018;80;0;1;03;00;01;10;75; 1; 2; 2;05;1;090;07
2018;81;0;1;02;00;00; 4;71; 1; 2; 2;02;1;080;04
2018;82;0;5;01;00;00; 1;68; 1; 2; 2;02;1;150;02
2018;83;1;5;05;03;02; 8;44; 1; 3; 1;03;3;120;05
2018;84;0;5;02;00;02; 5;56; 1; 2; 1;02;1;110;03
